s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,polyship_human_flag,member,members_found,combined_text,ner_persons,title_masked,summary_masked,text_raw,text_masked
https://golemlab.eu/graph/10435611,1755,"My Cheating, Amnesic Fiancé","In which you (reader) and Jeon Jungkook are engaged due to an arrangement made by both of your parents. Though neither of you especially like each other, you never thought you would find yourself in a relationship with a cheater. To top that off, destiny decides to make an entrance (in the form of a hard hit to a pretty skull) and Jungkook suffers amnesia, which only you seem to be able to handle. What will happen? Will you stay with him and help him through his predicament even though he loves someone else? Or should you simply let him go? Follow me on Twitter, @AW_Collins! Read original work from me on Wattpad, @Wrienne! Currently working on The Winter King !",2017-03-25,167244,Teen And Up Audiences,F/M,Completed,Amnesia | Angst | Arranged Marriage | Drama | Implied/Referenced Suicide | Past Child Abuse | Reader-Insert | References to Depression | Romance | Suicide Attempt,Jeon Jungkook/Reader Series: My Cheating Amnesic Fiancé Series [1],False,jungkook,{'jungkook'},"My Cheating, Amnesic Fiancé In which you (reader) and Jeon Jungkook are engaged due to an arrangement made by both of your parents. Though neither of you especially like each other, you never thought you would find yourself in a relationship with a cheater. To top that off, destiny decides to make an entrance (in the form of a hard hit to a pretty skull) and Jungkook suffers amnesia, which only you seem to be able to handle. What will happen? Will you stay with him and help him through his predicament even though he loves someone else? Or should you simply let him go? Follow me on Twitter, @AW_Collins! Read original work from me on Wattpad, @Wrienne! Currently working on The Winter King !","{'Jeon Jungkook', 'Twitter', 'Wattpad'}","my cheating, amnesic fiancé","in which you (reader) and [MEMBER] are engaged due to an arrangement made by both of your parents. though neither of you especially like each other, you never thought you would find yourself in a relationship with a cheater. to top that off, destiny decides to make an entrance (in the form of a hard hit to a pretty skull) and [MEMBER] suffers amnesia, which only you seem to be able to handle. what will happen? will you stay with him and help him through his predicament even though he loves someone else? or should you simply let him go? follow me on twitter, @aw_collins! read original work from me on wattpad, @wrienne! currently working on the winter king !","My Cheating, Amnesic Fiancé In which you (reader) and Jeon Jungkook are engaged due to an arrangement made by both of your parents. Though neither of you especially like each other, you never thought you would find yourself in a relationship with a cheater. To top that off, destiny decides to make an entrance (in the form of a hard hit to a pretty skull) and Jungkook suffers amnesia, which only you seem to be able to handle. What will happen? Will you stay with him and help him through his predicament even though he loves someone else? Or should you simply let him go? Follow me on Twitter, @AW_Collins! Read original work from me on Wattpad, @Wrienne! Currently working on The Winter King !","my cheating, amnesic fiancé in which you (reader) and [MEMBER] are engaged due to an arrangement made by both of your parents. though neither of you especially like each other, you never thought you would find yourself in a relationship with a cheater. to top that off, destiny decides to make an entrance (in the form of a hard hit to a pretty skull) and [MEMBER] suffers amnesia, which only you seem to be able to handle. what will happen? will you stay with him and help him through his predicament even though he loves someone else? or should you simply let him go? follow me on twitter, @aw_collins! read original work from me on wattpad, @wrienne! currently working on the winter king !"
https://golemlab.eu/graph/9367868,1572,Muse // Jungkook X Reader,Jeon Jungkook is a famous painter hiding his identity beneath a pseudonym. Anonymously wandering around his gallery opening he sees you appraising a piece of art that he hates – a piece inspired by his previous lover. In a moment of weakness and awe he approaches you with one offer in mind. “Be my muse.”,2017-01-17,37367,Teen And Up Audiences,F/M,Completed,Complete | Fluff | Fluff and Angst | Painter!AU | Romance | Unresolved Romantic Tension,"Jeon Jungkook/Reader, Jeon Jungkook/You",False,jungkook,{'jungkook'},Muse // Jungkook X Reader Jeon Jungkook is a famous painter hiding his identity beneath a pseudonym. Anonymously wandering around his gallery opening he sees you appraising a piece of art that he hates – a piece inspired by his previous lover. In a moment of weakness and awe he approaches you with one offer in mind. “Be my muse.”,{'Jungkook X Reader Jeon Jungkook'},muse // [MEMBER] x reader,[MEMBER] is a famous painter hiding his identity beneath a pseudonym. anonymously wandering around his gallery opening he sees you appraising a piece of art that he hates – a piece inspired by his previous lover. in a moment of weakness and awe he approaches you with one offer in mind. “be my muse.”,Muse // Jungkook X Reader Jeon Jungkook is a famous painter hiding his identity beneath a pseudonym. Anonymously wandering around his gallery opening he sees you appraising a piece of art that he hates – a piece inspired by his previous lover. In a moment of weakness and awe he approaches you with one offer in mind. “Be my muse.”,muse // [MEMBER] x reader [MEMBER] is a famous painter hiding his identity beneath a pseudonym. anonymously wandering around his gallery opening he sees you appraising a piece of art that he hates – a piece inspired by his previous lover. in a moment of weakness and awe he approaches you with one offer in mind. “be my muse.”
https://golemlab.eu/graph/25881670,1313,A Sea of Indigo,"Pitbull Hybrid Jungkook has finally been freed from the fighting rings, and now finds himself at Marigold Sanctuary & Transition Estate, a place for healing and self-discovery for rescued hybrids. It's stupid, dumb, cheesy, and hell-bent on helping Jungkook ""heal"" and ""find himself"" and ""decide the course of his life."" And right at the center of it is Y/N, a nurse who's got everyone bamboozled that she's like some awesome person. She's not that great. Jungkook hates it here.",2020-08-13,240149,Explicit,F/M,Completed,BTS AU | Cat Hybrid Min Yoongi | Suga | Dog Hybrid Jeon Jungkook | Fighter Jeon Jungkook | Fox Hybrid Park Jimin (BTS) | Hurt/Comfort | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrids | Recovery | Slow Burn | Slow Romance | Tiger Hybrid Kim Taehyung | V | Wolf Hybrid Kim Namjoon | RM,Jeon Jungkook/Reader Series: The Indigo Collection [1],False,jungkook,{'jungkook'},"A Sea of Indigo Pitbull Hybrid Jungkook has finally been freed from the fighting rings, and now finds himself at Marigold Sanctuary & Transition Estate, a place for healing and self-discovery for rescued hybrids. It's stupid, dumb, cheesy, and hell-bent on helping Jungkook ""heal"" and ""find himself"" and ""decide the course of his life."" And right at the center of it is Y/N, a nurse who's got everyone bamboozled that she's like some awesome person. She's not that great. Jungkook hates it here.",{'Pitbull Hybrid Jungkook'},a sea of indigo,"pitbull hybrid [MEMBER] has finally been freed from the fighting rings, and now finds himself at marigold sanctuary & transition estate, a place for healing and self-discovery for rescued hybrids. it's stupid, dumb, cheesy, and hell-bent on helping [MEMBER] ""heal"" and ""find himself"" and ""decide the course of his life."" and right at the center of it is You, a nurse who's got everyone bamboozled that she's like some awesome person. she's not that great. [MEMBER] hates it here.","A Sea of Indigo Pitbull Hybrid Jungkook has finally been freed from the fighting rings, and now finds himself at Marigold Sanctuary & Transition Estate, a place for healing and self-discovery for rescued hybrids. It's stupid, dumb, cheesy, and hell-bent on helping Jungkook ""heal"" and ""find himself"" and ""decide the course of his life."" And right at the center of it is Y/N, a nurse who's got everyone bamboozled that she's like some awesome person. She's not that great. Jungkook hates it here.","a sea of indigo pitbull hybrid [MEMBER] has finally been freed from the fighting rings, and now finds himself at marigold sanctuary & transition estate, a place for healing and self-discovery for rescued hybrids. it's stupid, dumb, cheesy, and hell-bent on helping [MEMBER] ""heal"" and ""find himself"" and ""decide the course of his life."" and right at the center of it is You, a nurse who's got everyone bamboozled that she's like some awesome person. she's not that great. [MEMBER] hates it here."
https://golemlab.eu/graph/5753209,1222,The Unwanted Alpha,"You curse the day you came of age and presented as an Alpha! A female Alpha is super rare, about 1% of the female population identify as Alpha and wasn’t it fan- fucking-tastic that you beat those odds.",2016-01-18,36229,Mature,F/M,In-Progress,Alpha/Beta/Omega Dynamics | Alternate Universe - Werewolf | Angst | Eventual Smut | Romance | Slice of Life,Jeon Jungkook/Reader,False,jungkook,{'jungkook'},"The Unwanted Alpha You curse the day you came of age and presented as an Alpha! A female Alpha is super rare, about 1% of the female population identify as Alpha and wasn’t it fan- fucking-tastic that you beat those odds.",{'Alpha'},the unwanted alpha,"you curse the day you came of age and presented as an alpha! a female alpha is super rare, about 1% of the female population identify as alpha and wasn’t it fan- fucking-tastic that you beat those odds.","The Unwanted Alpha You curse the day you came of age and presented as an Alpha! A female Alpha is super rare, about 1% of the female population identify as Alpha and wasn’t it fan- fucking-tastic that you beat those odds.","the unwanted alpha you curse the day you came of age and presented as an alpha! a female alpha is super rare, about 1% of the female population identify as alpha and wasn’t it fan- fucking-tastic that you beat those odds."
https://golemlab.eu/graph/7910962,1184,Hiraeth,"The world has been ravaged by famine and disease, and the population has plummeted. You are assigned a breeding partner, but mindlessly repopulating the planet is more difficult than it seems. Especially when you fall in love.",2016-08-31,12596,Explicit,F/M,Completed,Alternate Universe - Post-Apocalypse | FLU F F | Fluff | Light Angst | SO MUCH FLUFF | Sexual Content | Sexual Tension | Smut | alternative universe,Jeon Jungkook/Reader,False,jungkook,{'jungkook'},"Hiraeth The world has been ravaged by famine and disease, and the population has plummeted. You are assigned a breeding partner, but mindlessly repopulating the planet is more difficult than it seems. Especially when you fall in love.",set(),hiraeth,"the world has been ravaged by famine and disease, and the population has plummeted. you are assigned a breeding partner, but mindlessly repopulating the planet is more difficult than it seems. especially when you fall in love.","Hiraeth The world has been ravaged by famine and disease, and the population has plummeted. You are assigned a breeding partner, but mindlessly repopulating the planet is more difficult than it seems. Especially when you fall in love.","hiraeth the world has been ravaged by famine and disease, and the population has plummeted. you are assigned a breeding partner, but mindlessly repopulating the planet is more difficult than it seems. especially when you fall in love."
https://golemlab.eu/graph/30222195,1099,Mutual Help,"In order for you to pretend to be his girlfriend, he helps you with your sexual desires - he calls it a mutual help",2021-03-23,387752,Mature,F/M,In-Progress,Anal Play | Angst | Cross-Posted on Wattpad | Deepthroating | Explicit Language | Fake/Pretend Relationship | Fluff | Friends to Lovers | Implied/Referenced Cheating | Oral Sex | Rough Sex | Semi-Public Sex | Sex Toys | Slow Burn | Smut | Spanking | Vaginal Sex,"Jeon Jungkook/Reader, Jeon Jungkook/You",False,jungkook,{'jungkook'},"Mutual Help In order for you to pretend to be his girlfriend, he helps you with your sexual desires - he calls it a mutual help",set(),mutual help,"in order for you to pretend to be his girlfriend, he helps you with your sexual desires - he calls it a mutual help","Mutual Help In order for you to pretend to be his girlfriend, he helps you with your sexual desires - he calls it a mutual help","mutual help in order for you to pretend to be his girlfriend, he helps you with your sexual desires - he calls it a mutual help"
https://golemlab.eu/graph/6857905,1098,Pancakes?,"“You slept with my roommate who is notorious for one night stands, and now I’m meant to tell you that the reason you woke up alone is because she had to get to an early class. I should then proceed to get your phone number and tell you that she’ll call in a few days before binning it as soon as you leave, but I never do that so hi, sorry my roommates a jackass. Pancakes?” - Rewritten as of 10/26/20 because ~growth~",2020-10-26,1309,General Audiences,F/M,Completed,Alternate Universe - College/University | But still not quite as fluffy as reader's pancakes | Fluff | Jungkook-centric | Reader-Insert | literally nothing but the fluffiest of fluff | no beta we die like men | reader - Freeform | those shits be top tier | y/n not used,Jeon Jungkook/Reader,False,jungkook,{'jungkook'},"Pancakes? “You slept with my roommate who is notorious for one night stands, and now I’m meant to tell you that the reason you woke up alone is because she had to get to an early class. I should then proceed to get your phone number and tell you that she’ll call in a few days before binning it as soon as you leave, but I never do that so hi, sorry my roommates a jackass. Pancakes?” - Rewritten as of 10/26/20 because ~growth~",set(),pancakes?,"“you slept with my roommate who is notorious for one night stands, and now i’m meant to tell you that the reason you woke up alone is because she had to get to an early class. i should then proceed to get your phone number and tell you that she’ll call in a few days before binning it as soon as you leave, but i never do that so hi, sorry my roommates a jackass. pancakes?” - rewritten as of 10/26/20 because ~growth~","Pancakes? “You slept with my roommate who is notorious for one night stands, and now I’m meant to tell you that the reason you woke up alone is because she had to get to an early class. I should then proceed to get your phone number and tell you that she’ll call in a few days before binning it as soon as you leave, but I never do that so hi, sorry my roommates a jackass. Pancakes?” - Rewritten as of 10/26/20 because ~growth~","pancakes? “you slept with my roommate who is notorious for one night stands, and now i’m meant to tell you that the reason you woke up alone is because she had to get to an early class. i should then proceed to get your phone number and tell you that she’ll call in a few days before binning it as soon as you leave, but i never do that so hi, sorry my roommates a jackass. pancakes?” - rewritten as of 10/26/20 because ~growth~"
https://golemlab.eu/graph/15333759,954,Maintenance,"Jeon Jungkook is a bunny hybrid . He's lovable. He's cute. However, he's very,very,very, high maintenance.  Being a bunny he has heats left and right . His chances of adoption are low compared to cat and dog hybrids due to how high maintenance he is . Enter you, a lonely business woman. You're pretty well off and just crave companionship. Dating has just blundered your morale as a single woman. It doesn't have to be sexual , nor romantic. Just someone to come home to would be nice. However it isn't till you take this bunny hybrid home, that you see just how much maintenance he really is.",2018-07-18,25073,Mature,F/M,Completed,Bts/reader - Freeform | Bunny Hybrid Jungkook | Heat Sex | Hybrid bts | Smut | Some angst | hybrid sex | jeon jungkook - Freeform | jungkook - Freeform,Jeon Jungkook/Reader,False,jungkook,{'jungkook'},"Maintenance Jeon Jungkook is a bunny hybrid . He's lovable. He's cute. However, he's very,very,very, high maintenance.  Being a bunny he has heats left and right . His chances of adoption are low compared to cat and dog hybrids due to how high maintenance he is . Enter you, a lonely business woman. You're pretty well off and just crave companionship. Dating has just blundered your morale as a single woman. It doesn't have to be sexual , nor romantic. Just someone to come home to would be nice. However it isn't till you take this bunny hybrid home, that you see just how much maintenance he really is.",{'Maintenance Jeon Jungkook'},maintenance,"[MEMBER] is a bunny hybrid . he's lovable. he's cute. however, he's very,very,very, high maintenance.  being a bunny he has heats left and right . his chances of adoption are low compared to cat and dog hybrids due to how high maintenance he is . enter you, a lonely business woman. you're pretty well off and just crave companionship. dating has just blundered your morale as a single woman. it doesn't have to be sexual , nor romantic. just someone to come home to would be nice. however it isn't till you take this bunny hybrid home, that you see just how much maintenance he really is.","Maintenance Jeon Jungkook is a bunny hybrid . He's lovable. He's cute. However, he's very,very,very, high maintenance.  Being a bunny he has heats left and right . His chances of adoption are low compared to cat and dog hybrids due to how high maintenance he is . Enter you, a lonely business woman. You're pretty well off and just crave companionship. Dating has just blundered your morale as a single woman. It doesn't have to be sexual , nor romantic. Just someone to come home to would be nice. However it isn't till you take this bunny hybrid home, that you see just how much maintenance he really is.","maintenance [MEMBER] is a bunny hybrid . he's lovable. he's cute. however, he's very,very,very, high maintenance.  being a bunny he has heats left and right . his chances of adoption are low compared to cat and dog hybrids due to how high maintenance he is . enter you, a lonely business woman. you're pretty well off and just crave companionship. dating has just blundered your morale as a single woman. it doesn't have to be sexual , nor romantic. just someone to come home to would be nice. however it isn't till you take this bunny hybrid home, that you see just how much maintenance he really is."
https://golemlab.eu/graph/13801209,869,My Cheating Amnesic Fiancé 2,"In which you (reader) and Jeon Jungkook are engaged due to an arrangement made by both of your parents. Or well, used to be. After finally resolving Jungkook's amnesia and your complicated relationship, one would think that everything was fine. But destiny isn't done messing with your life yet. Due to an incident where you confronted Jungkook's brother and your current fiancé about some lies that he had made, you found out about a horrible part of his life that you now feel obligated to help him with. But in order to do that, you cannot tell him about you and Jungkook. Additionally, Jungkook isn't done keeping secrets away from you - secrets that might destroy your already uncertain relationship permanently. Furthermore, your father's weak health is a constant worry on your mind, and as news outlets dig out more about your late grandfather's company's involvement with the former president, nothing in your already chaotic life will be stable for a long time. Will your relationship with Jungkook make it through all the hurdles and hindrances that destiny sets before you? Or are you two really not meant to be? A continuation of My Cheating Amnesic Fiancé. Follow me on Twitter, @AW_Collins!",2018-02-25,122077,Teen And Up Audiences,F/M,Completed,Angst | Arranged Marriage | Attempted Rape/Non-Con | Drama | Implied/Referenced Suicide | Past Child Abuse | Reader-Insert | References to Depression | Romance,Jeon Jungkook/Reader Series: My Cheating Amnesic Fiancé Series [2],False,jungkook,{'jungkook'},"My Cheating Amnesic Fiancé 2 In which you (reader) and Jeon Jungkook are engaged due to an arrangement made by both of your parents. Or well, used to be. After finally resolving Jungkook's amnesia and your complicated relationship, one would think that everything was fine. But destiny isn't done messing with your life yet. Due to an incident where you confronted Jungkook's brother and your current fiancé about some lies that he had made, you found out about a horrible part of his life that you now feel obligated to help him with. But in order to do that, you cannot tell him about you and Jungkook. Additionally, Jungkook isn't done keeping secrets away from you - secrets that might destroy your already uncertain relationship permanently. Furthermore, your father's weak health is a constant worry on your mind, and as news outlets dig out more about your late grandfather's company's involvement with the former president, nothing in your already chaotic life will be stable for a long time. Will your relationship with Jungkook make it through all the hurdles and hindrances that destiny sets before you? Or are you two really not meant to be? A continuation of My Cheating Amnesic Fiancé. Follow me on Twitter, @AW_Collins!","{'Jeon Jungkook', 'Fiancé 2', 'Twitter', 'Jungkook'}",my cheating amnesic fiancé 2,"in which you (reader) and [MEMBER] are engaged due to an arrangement made by both of your parents. or well, used to be. after finally resolving [MEMBER]'s amnesia and your complicated relationship, one would think that everything was fine. but destiny isn't done messing with your life yet. due to an incident where you confronted [MEMBER]'s brother and your current fiancé about some lies that he had made, you found out about a horrible part of his life that you now feel obligated to help him with. but in order to do that, you cannot tell him about you and [MEMBER]. additionally, [MEMBER] isn't done keeping secrets away from you - secrets that might destroy your already uncertain relationship permanently. furthermore, your father's weak health is a constant worry on your mind, and as news outlets dig out more about your late grandfather's company's involvement with the former president, nothing in your already chaotic life will be stable for a long time. will your relationship with [MEMBER] make it through all the hurdles and hindrances that destiny sets before you? or are you two really not meant to be? a continuation of my cheating amnesic fiancé. follow me on twitter, @aw_collins!","My Cheating Amnesic Fiancé 2 In which you (reader) and Jeon Jungkook are engaged due to an arrangement made by both of your parents. Or well, used to be. After finally resolving Jungkook's amnesia and your complicated relationship, one would think that everything was fine. But destiny isn't done messing with your life yet. Due to an incident where you confronted Jungkook's brother and your current fiancé about some lies that he had made, you found out about a horrible part of his life that you now feel obligated to help him with. But in order to do that, you cannot tell him about you and Jungkook. Additionally, Jungkook isn't done keeping secrets away from you - secrets that might destroy your already uncertain relationship permanently. Furthermore, your father's weak health is a constant worry on your mind, and as news outlets dig out more about your late grandfather's company's involvement with the former president, nothing in your already chaotic life will be stable for a long time. Will your relationship with Jungkook make it through all the hurdles and hindrances that destiny sets before you? Or are you two really not meant to be? A continuation of My Cheating Amnesic Fiancé. Follow me on Twitter, @AW_Collins!","my cheating amnesic fiancé 2 in which you (reader) and [MEMBER] are engaged due to an arrangement made by both of your parents. or well, used to be. after finally resolving [MEMBER]'s amnesia and your complicated relationship, one would think that everything was fine. but destiny isn't done messing with your life yet. due to an incident where you confronted [MEMBER]'s brother and your current fiancé about some lies that he had made, you found out about a horrible part of his life that you now feel obligated to help him with. but in order to do that, you cannot tell him about you and [MEMBER]. additionally, [MEMBER] isn't done keeping secrets away from you - secrets that might destroy your already uncertain relationship permanently. furthermore, your father's weak health is a constant worry on your mind, and as news outlets dig out more about your late grandfather's company's involvement with the former president, nothing in your already chaotic life will be stable for a long time. will your relationship with [MEMBER] make it through all the hurdles and hindrances that destiny sets before you? or are you two really not meant to be? a continuation of my cheating amnesic fiancé. follow me on twitter, @aw_collins!"
https://golemlab.eu/graph/25142842,854,Kalokagathia | JJK ✔,"Kalokagathia (n.) - the good and beautiful in a person. A bunny hybrid Jungkook x reader AU. Started: June 1, 2020 Completed: January 11, 2021 Also published on Wattpad.",2020-07-08,111942,Mature,F/M,Completed,BTS AU | Bts army - Freeform | Bunny Hybrid Jeon Jungkook | Cat Hybrid Min Yoongi | Suga | Doctor Kim Seokjin | Jin | Doctor Reader - Freeform | Dog Hybrid Jung Hoseok | J-Hope | Dog Hybrid Kim Taehyung | V | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrid Kim Namjoon | RM | Hybrid Kim Taehyung | V | Hybrid Min Yoongi | Suga | Hybrids | Police Officer Park Jimin (BTS) | Wolf Hybrid Kim Namjoon | RM | bts - Freeform | bunny hybrid | cat hybrid | dog hybrid | jeon jungkook - Freeform,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Kim Taehyung | V/Park Jimin, Kim Namjoon | RM/Kim Seokjin | Jin/Min Yoongi | Suga Series: Kalokagathia Universe [1]",False,jungkook,{'jungkook'},"Kalokagathia | JJK ✔ Kalokagathia (n.) - the good and beautiful in a person. A bunny hybrid Jungkook x reader AU. Started: June 1, 2020 Completed: January 11, 2021 Also published on Wattpad.",{'Kalokagathia'},kalokagathia | [MEMBER] ✔,"kalokagathia (n.) - the good and beautiful in a person. a bunny hybrid [MEMBER] x reader au. started: june 1, 2020 completed: january 11, 2021 also published on wattpad.","Kalokagathia | JJK ✔ Kalokagathia (n.) - the good and beautiful in a person. A bunny hybrid Jungkook x reader AU. Started: June 1, 2020 Completed: January 11, 2021 Also published on Wattpad.","kalokagathia | [MEMBER] ✔ kalokagathia (n.) - the good and beautiful in a person. a bunny hybrid [MEMBER] x reader au. started: june 1, 2020 completed: january 11, 2021 also published on wattpad."
https://golemlab.eu/graph/13696458,823,Little Bit Of Trouble,"This has been requested by multiple people, and I have never written a fanfic like this before so please bear with me. I had just recently lost my job, and was becoming borderline desparate.  I had eaten through all of my savings and was down to my last bit of money when I got an opportunity from my best friend.  He knew of a live-in position where I would be payed well to be a caregiver. I leapt at the opportunity, not realizing how big of an impact it would have on my life.",2018-02-15,89832,Explicit,F/M,Completed,Age Play | Age Play Caregiver Jung Hoseok | J-Hope | Age Play Caregiver Kim Namjoon | RM | Age Play Caregiver Min Yoongi | Suga | Age Play Little Jeon Jungkook | Age Play Little Kim Seokjin | Age Play Little Kim Taehyung | V | Age Play Little Park Jimin | Cute Jeon Jungkook | Headspace | Jeon Jungkook-Centric | Littles | Sweet Jeon Jungkook | caretaker,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Kim Taehyung | V, Kim Namjoon | RM/Kim Seokjin | Jin, Min Yoongi | Suga/Park Jimin Series: Littles [1]",False,jungkook,{'jungkook'},"Little Bit Of Trouble This has been requested by multiple people, and I have never written a fanfic like this before so please bear with me. I had just recently lost my job, and was becoming borderline desparate.  I had eaten through all of my savings and was down to my last bit of money when I got an opportunity from my best friend.  He knew of a live-in position where I would be payed well to be a caregiver. I leapt at the opportunity, not realizing how big of an impact it would have on my life.",set(),little bit of trouble,"this has been requested by multiple people, and i have never written a fanfic like this before so please bear with me. i had just recently lost my job, and was becoming borderline desparate.  i had eaten through all of my savings and was down to my last bit of money when i got an opportunity from my best friend.  he knew of a live-in position where i would be payed well to be a caregiver. i leapt at the opportunity, not realizing how big of an impact it would have on my life.","Little Bit Of Trouble This has been requested by multiple people, and I have never written a fanfic like this before so please bear with me. I had just recently lost my job, and was becoming borderline desparate.  I had eaten through all of my savings and was down to my last bit of money when I got an opportunity from my best friend.  He knew of a live-in position where I would be payed well to be a caregiver. I leapt at the opportunity, not realizing how big of an impact it would have on my life.","little bit of trouble this has been requested by multiple people, and i have never written a fanfic like this before so please bear with me. i had just recently lost my job, and was becoming borderline desparate.  i had eaten through all of my savings and was down to my last bit of money when i got an opportunity from my best friend.  he knew of a live-in position where i would be payed well to be a caregiver. i leapt at the opportunity, not realizing how big of an impact it would have on my life."
https://golemlab.eu/graph/8184632,780,Out of the Blue,"Jungkook has only ever thought of his breeding clients as just that - clients, and he’s always quite indifferent to them since he only ever knows them for a short period of time. But then you come along, and he starts experiencing feelings that aren’t being manipulated by your heat. Real feelings, that he has never harbored before with anyone else.",2016-10-02,22561,Explicit,F/M,In-Progress,Angst | Dogboys & Doggirls | Knotting | Mating Cycles/In Heat | dogboy jungkook | doggirl reader | extremely graphic vulgar smut like whoa | lowkey namjin on the side | so much angst in the future lol,"Jeon Jungkook/Reader, Kim Namjoon | Rap Monster/Kim Seokjin | Jin Series: Dogboys [3]",False,jungkook,{'jungkook'},"Out of the Blue Jungkook has only ever thought of his breeding clients as just that - clients, and he’s always quite indifferent to them since he only ever knows them for a short period of time. But then you come along, and he starts experiencing feelings that aren’t being manipulated by your heat. Real feelings, that he has never harbored before with anyone else.",set(),out of the blue,"[MEMBER] has only ever thought of his breeding clients as just that - clients, and he’s always quite indifferent to them since he only ever knows them for a short period of time. but then you come along, and he starts experiencing feelings that aren’t being manipulated by your heat. real feelings, that he has never harbored before with anyone else.","Out of the Blue Jungkook has only ever thought of his breeding clients as just that - clients, and he’s always quite indifferent to them since he only ever knows them for a short period of time. But then you come along, and he starts experiencing feelings that aren’t being manipulated by your heat. Real feelings, that he has never harbored before with anyone else.","out of the blue [MEMBER] has only ever thought of his breeding clients as just that - clients, and he’s always quite indifferent to them since he only ever knows them for a short period of time. but then you come along, and he starts experiencing feelings that aren’t being manipulated by your heat. real feelings, that he has never harbored before with anyone else."
https://golemlab.eu/graph/7489863,716,The Detention,"PROMPT: ""We can share.""",2016-07-15,1315,Teen And Up Audiences,F/M,Completed,Alternate Universe - High School | Good Girl/Bad Boy | Tumblr Ask Box Fic,Jeon Jungkook/Reader,False,jungkook,{'jungkook'},"The Detention PROMPT: ""We can share.""",set(),the detention,"prompt: ""we can share.""","The Detention PROMPT: ""We can share.""","the detention prompt: ""we can share."""
https://golemlab.eu/graph/23516674,710,Navy Blue,"You live in a world where having a hybrid is normal. Your best friend Taehyung has his own cat hybrid named Yoongi, and while the pair may seem like total opposites, their bond is obvious. You begin to consider getting one to have as a companion to come home to. You could never anticipate just how important he will become to you.",2020-04-06,56426,Explicit,F/M,Completed,Alternate Universe | Angst | Bunny Hybrid Jeon Jungkook | Cat Hybrid Min Yoongi | Suga | Eventual Smut | Fluff and Angst | Fluff and Smut | Hybrids | Jeon Jungkook & Kim Taehyung | V are Best Friends | Jeon Jungkook is a Sweetheart,Jeon Jungkook/Reader,False,jungkook,{'jungkook'},"Navy Blue You live in a world where having a hybrid is normal. Your best friend Taehyung has his own cat hybrid named Yoongi, and while the pair may seem like total opposites, their bond is obvious. You begin to consider getting one to have as a companion to come home to. You could never anticipate just how important he will become to you.","{'Yoongi', 'Taehyung'}",navy blue,"you live in a world where having a hybrid is normal. your best friend [MEMBER] has his own cat hybrid named [MEMBER], and while the pair may seem like total opposites, their bond is obvious. you begin to consider getting one to have as a companion to come home to. you could never anticipate just how important he will become to you.","Navy Blue You live in a world where having a hybrid is normal. Your best friend Taehyung has his own cat hybrid named Yoongi, and while the pair may seem like total opposites, their bond is obvious. You begin to consider getting one to have as a companion to come home to. You could never anticipate just how important he will become to you.","navy blue you live in a world where having a hybrid is normal. your best friend [MEMBER] has his own cat hybrid named [MEMBER], and while the pair may seem like total opposites, their bond is obvious. you begin to consider getting one to have as a companion to come home to. you could never anticipate just how important he will become to you."
https://golemlab.eu/graph/15671640,634,The Devil's Change Up,"Majoring in athletic training means you have mandatory observation hours to perform with every single sports team at your school throughout the year, and so far it’s been going pretty great. However, when regrets from your past cause your rotation with the baseball team to become a little rocky, there’s one star pitcher who says that he can make it all better.",2018-08-14,41256,Explicit,F/M,Completed,Alternate Universe - College/University | Alternate Universe - Sports | Demeaning Names | Dirty Talk | Mild Dom Undertones | Semi-Public Sex | Smut | Unprotected Sex | he's cocky but with a fluffy side | non-penetrative bat play | pitcher!jungkook | such as slut but used in an endearing way | things go down in the dugout at night,Jeon Jungkook/Reader,False,jungkook,{'jungkook'},"The Devil's Change Up Majoring in athletic training means you have mandatory observation hours to perform with every single sports team at your school throughout the year, and so far it’s been going pretty great. However, when regrets from your past cause your rotation with the baseball team to become a little rocky, there’s one star pitcher who says that he can make it all better.",set(),the devil's change up,"majoring in athletic training means you have mandatory observation hours to perform with every single sports team at your school throughout the year, and so far it’s been going pretty great. however, when regrets from your past cause your rotation with the baseball team to become a little rocky, there’s one star pitcher who says that he can make it all better.","The Devil's Change Up Majoring in athletic training means you have mandatory observation hours to perform with every single sports team at your school throughout the year, and so far it’s been going pretty great. However, when regrets from your past cause your rotation with the baseball team to become a little rocky, there’s one star pitcher who says that he can make it all better.","the devil's change up majoring in athletic training means you have mandatory observation hours to perform with every single sports team at your school throughout the year, and so far it’s been going pretty great. however, when regrets from your past cause your rotation with the baseball team to become a little rocky, there’s one star pitcher who says that he can make it all better."
